Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
SHIVAM TRAVELS,NON A/C Seater (2+2),15:15,19:15,10 Seats available,04h 00m,INR 350,"4.2
237",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,19:15,1 Seat available,03h 45m,INR 397.08,"4.5
434",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:15,03:00,20 Seats available,05h 45m,INR 450,"3.6
88",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:45,03:15,17 Seats available,05h 30m,450,"3.5
26",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Shopuris Travels,Non AC Seater (2+1),21:15,03:00,23 Seats available,05h 45m,525,2.7,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
DESTINY TRAVELS,NON A/C Seater (2+1),22:15,03:45,26 Seats available,05h 30m,445,2.2,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
DESTINY TRAVELS,NON A/C Seater (2+1),23:00,04:15,11 Seats available,05h 15m,INR 488.78,2.2,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04:00,8 Seats available,04h 20m,INR 500,"1.7
21",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,AC Seater (2+2),15:35,19:15,30 Seats available,03h 40m,INR 360,"4.1
300",Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,19:40,28 Seats available,03h 25m,INR 360,"4.1
422",Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Kalpana Travels,AC Seater (2+2),16:50,20:15,31 Seats available,03h 25m,INR 370,"4.6
95",Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
