Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
Gogte Travels,NON A/C Sleeper (2+1),19:30,06:15,7 Seats available,10h 45m,INR 1199,"4.0
360",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,4 Seats available,11h 15m,INR 949,"4.2
292",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Gogte Travels,A/C Sleeper (2+1),20:15,07:00,6 Seats available,10h 45m,INR 1409,"4.3
285",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
AdIntrCity SmartBus,AC Sleeper (2+1),21:55,09:30,12 Seats available,11h 35m,INR 1525,4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,07:55,4 Seats available,10h 40m,INR 1399,"4.2
301",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,AC Sleeper (2+1),22:00,09:35,7 Seats available,11h 35m,INR 1803,"4.3
247",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,1 Seat available,10h 15m,INR 1999,"4.6
564",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:45,10:55,9 Seats available,11h 10m,1647,"4.4
474",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Gogte Anand Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:30,10:25,9 Seats available,10h 55m,INR 1499,"4.1
212",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,07:00,1 Seat available,10h 00m,INR 1438,"4.3
658",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,07:55,6 Seats available,10h 40m,INR 1728,"4.5
573",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:05,08:30,5 Seats available,11h 25m,INR 1500,"4.2
684",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),23:00,10:00,15 Seats available,11h 00m,INR 1420,"4.4
17",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,AC Sleeper (2+1),23:35,10:15,10 Seats available,10h 40m,INR 1486,"4.4
340",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,AC Sleeper (2+1),22:15,08:45,6 Seats available,10h 30m,INR 1385,"4.3
100",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,09:30,5 Seats available,11h 00m,INR 2020,"4.1
304",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),21:30,07:30,7 Seats available,10h 00m,INR 1619,"4.4
62",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:00,10:00,8 Seats available,11h 00m,INR 1740,"4.2
498",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:35,6 Seats available,11h 05m,INR 1926,"4.1
383",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),19:45,06:00,4 Seats available,10h 15m,INR 1110,"4.1
286",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Amrutyog,A/C Sleeper (2+1),22:05,09:30,5 Seats available,11h 25m,INR 1800,"4.4
518",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray National Express,NON A/C Sleeper (2+1),20:00,07:00,3 Seats available,11h 00m,INR 1390,"4.3
343",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:25,07:10,4 Seats available,10h 45m,INR 1892,"4.2
438",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Indumati Travels,A/C Sleeper (2+1),22:20,08:30,6 Seats available,10h 10m,1900,"4.2
371",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,AC Sleeper (2+1),22:15,08:45,3 Seats available,10h 30m,INR 1671,"4.2
276",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,09:40,3 Seats available,12h 25m,INR 950,"4.3
718",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Vip Yellows,A/C Sleeper (2+1),20:35,08:00,2 Seats available,11h 25m,INR 1530,"4.2
471",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,09:30,13 Seats available,11h 15m,INR 1820,"3.7
102",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Laxmi Empress Stellar,NON A/C Sleeper (2+1),21:00,08:00,11 Seats available,11h 00m,INR 999,"3.9
180",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Laxmi Queen Prime,A/C Sleeper (2+1),20:30,07:30,11 Seats available,11h 00m,INR 1199,"3.8
263",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:30,08:30,18 Seats available,11h 00m,INR 1870,"3.7
114",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:00,07:00,15 Seats available,11h 00m,INR 700,"3.2
115",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,9 Seats available,10h 30m,INR 1400,"3.7
274",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,9 Seats available,10h 30m,INR 1199,"3.9
138",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Abhishek Vishal Travels,A/C Sleeper (2+1),23:00,08:40,9 Seats available,09h 40m,INR 1499,"3.6
22",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Humsafar Travels,Bharat Benz A/C Sleeper (2+1),22:50,09:30,2 Seats available,10h 40m,INR 1180,"3.4
283",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Traveltime Travels (Kelkar),NON A/C Seater/ Sleeper (2+1),21:15,08:45,8 Seats available,11h 30m,INR 1000,"3.2
179",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:00,07:40,8 Seats available,10h 40m,INR 1796,"3.3
19",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
PSR Travels Goa,A/C Sleeper (2+1),23:45,09:30,2 Seats available,09h 45m,INR 1699,"3.4
105",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Atmaram Divine,NON A/C Sleeper (2+1),19:50,06:45,3 Seats available,10h 55m,INR 1550,"3.8
463",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,08:30,5 Seats available,10h 45m,1215,"3.7
280",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:45,08:45,3 Seats available,11h 00m,INR 2020,"3.3
126",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Abhishek Vishal Travels,A/C Sleeper (2+1),00:15,10:15,8 Seats available,10h 00m,INR 1399,"3.2
98",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Humsafar Travels,Bharat Benz A/C Sleeper (2+1),22:15,09:00,2 Seats available,10h 45m,INR 1270,"3.4
6",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Gogte Travels,A/C Sleeper (2+1),20:15,07:45,7 Seats available,11h 30m,INR 1409,3.9,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Dolphin travel house,A/C Sleeper (2+1),23:59,10:45,6 Seats available,10h 46m,INR 1519,"3.5
62",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Gogte Travels (Manish),Non AC Seater (2+2),19:20,07:30,8 Seats available,12h 10m,INR 711,"2.9
144",Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
