Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:30,08:00,4 Seats available,09h 30m,737,"4.8
993",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,6 Seats available,08h 30m,INR 1199,"4.5
798",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),21:50,07:40,5 Seats available,09h 50m,1074,"4.5
577",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:25,07:45,4 Seats available,08h 20m,INR 1099,"4.4
621",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:05,08:10,6 Seats available,10h 05m,1063,"4.6
497",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:25,07:25,39 Seats available,08h 00m,889,"3.5
374",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:20,07:10,4 Seats available,09h 50m,922,"3.8
375",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30,06:00,6 Seats available,07h 30m,990,"3.5
388",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Here Bus,Bharat Benz A/C Seater (2+2),23:45,07:45,36 Seats available,08h 00m,906,3.9,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Royal Safari India Travels,Bharat Benz A/C Semi Sleeper (2+2),23:00,08:00,15 Seats available,09h 00m,792,"2.3
12",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:30,07:30,33 Seats available,10h 00m,INR 1499,"1.8
36",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
G.T.SHolidays,Volvo A/C Semi Sleeper (2+2 ),22:30,06:30,26 Seats available,08h 00m,1149,2.2,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,01:15,15 Seats available,04h 55m,INR 599,"3.3
11",Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,01:20,5 Seats available,04h 05m,637,"4.5
15",Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,01:30,11 Seats available,03h 45m,580,3.1,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,03:10,9 Seats available,05h 10m,675,4.5,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
