Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
Jakhar Travels,NON A/C Seater/ Sleeper (2+1),18:45,23:15,12 Seats available,04h 30m,INR 450,3.9,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
M R Travels,NON A/C Seater/ Sleeper (2+1),18:45,23:40,19 Seats available,04h 55m,INR 495,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,12 Seats available,04h 50m,INR 330,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:36,14 Seats available,04h 36m,INR 330,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,23:50,30 Seats available,04h 20m,INR 663,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,AC Sleeper (2+1),20:00,00:30,36 Seats available,04h 30m,INR 580,"3.8
5",Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,24 Seats available,04h 45m,INR 500,3.7,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Tiger Travels,NON AC Seater / Sleeper 2+1,22:00,02:45,36 Seats available,04h 45m,INR 400,4.3,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,03:00,41 Seats available,05h 00m,INR 400,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Pooja Paraswnath Travels,A/C Seater / Sleeper (2+1),22:00,03:34,32 Seats available,05h 34m,INR 500,3.8,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,19:30,23:00,40 Seats available,03h 30m,INR 350,3.7,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
AMIT TRAVELS REGD.,NON A/C Sleeper (2+1),20:15,00:40,36 Seats available,04h 25m,INR 600,3.0,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
Devraj Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:20,23:59,30 Seats available,02h 39m,INR 500,"3.9
4",Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
Pandit Travels,NON AC Seater / Sleeper 2+1,21:45,01:15,36 Seats available,03h 30m,INR 500,3.9,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
Jain travels regd,,21:45,01:15,,03h 30m,INR 300,3.7,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
Jain travels regd,AC Sleeper (2+1),22:15,04:30,15 Seats available,06h 15m,INR 600,"4.3
252",Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
Kalpana Travels,NON AC Seater / Sleeper 2+1,22:00,04:54,12 Seats available,06h 54m,INR 300,"4.0
123",Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
Gajraj Travels,A/C Sleeper (2+1),22:30,05:00,19 Seats available,06h 30m,INR 600,"4.7
30",Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
Chandra Travels (Apex Chandra Pvt Ltd),NON AC Seater / Sleeper 2+1,22:30,04:30,15 Seats available,06h 00m,INR 350,"4.0
5",Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
,,,,,,,,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
Jain travels regd,AC Sleeper (2+1),22:05,05:05,22 Seats available,07h 00m,INR 600,"4.2
471",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
M R Travels,A/C Seater / Sleeper (2+1),22:15,05:30,10 Seats available,07h 15m,INR 510,"4.4
349",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
Gajraj Travels,A/C Sleeper (2+1),22:15,05:35,12 Seats available,07h 20m,INR 600,"4.6
427",Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
