Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
TGSRTC - 8935,Super Luxury (Non AC Seater 2+2 Push Back),00:20,04:10,30 Seats available,03h 50m,INR 320,3.7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8987,Super Luxury (Non AC Seater 2+2 Push Back),00:25,04:20,18 Seats available,03h 55m,INR 320,"3.6
23",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 34333,LAHARI A/C SLEEPER CUM SEATER,00:50,05:00,30 Seats available,04h 10m,INR 389,"3.1
4",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8949,RAJDHANI (A.C. Semi Sleeper),01:15,05:10,29 Seats available,03h 55m,INR 389,"2.2
11",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8885,Lahari Non A/C Sleeper Cum Seater,01:15,05:15,11 Seats available,04h 00m,INR 320,"4.4
45",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8653,RAJADHANI AC (CONVERTED METRO LUXURY),03:00,07:00,30 Seats available,04h 00m,INR 389,"4.5
70",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8631,Rajdhani (AC Semi Sleeper 2+2),03:30,07:30,16 Seats available,04h 00m,INR 389,"3.6
78",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8688,Rajdhani (AC Semi Sleeper 2+2),04:00,07:20,22 Seats available,03h 20m,INR 389,"4.0
50",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8611,Super Luxury (Non AC Seater 2+2 Push Back),04:40,08:50,13 Seats available,04h 10m,INR 320,"3.4
39",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 8694,Rajdhani (AC Semi Sleeper 2+2),05:00,08:20,28 Seats available,03h 20m,INR 389,"3.6
43",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
