Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
UPSRTC - RKD0134,Janrath AC Seater 2+3,00:31,05:31,48 Seats available,05h 00m,INR 570,"1.8
14",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLY0112,Janrath AC Seater 2+2,05:31,10:15,35 Seats available,04h 44m,INR 648,"2.9
33",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0161,Ordinary Non AC Seater 2+3,06:00,13:16,52 Seats available,07h 16m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0229,Ordinary Non AC Seater 2+3,06:00,12:30,52 Seats available,06h 30m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RKD0129,Janrath AC Seater 2+2,06:01,11:01,36 Seats available,05h 00m,INR 648,"3.3
16",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0230,Ordinary Non AC Seater 2+3,06:30,13:00,52 Seats available,06h 30m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - NDD0233,Ordinary Non AC Seater 2+3,06:58,13:00,52 Seats available,06h 02m,INR 436,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0232,Ordinary Non AC Seater 2+3,07:00,13:30,52 Seats available,06h 30m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0304,Ordinary Non AC Seater 2+3,07:10,14:32,52 Seats available,07h 22m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - ARH0118,Ordinary Non AC Seater 2+3,07:30,12:00,52 Seats available,04h 30m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0233,Ordinary Non AC Seater 2+3,07:30,14:00,52 Seats available,06h 30m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0360,Ordinary Non AC Seater 2+3,07:42,14:36,52 Seats available,06h 54m,INR 492,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RKD0132,Shatabdi AC Seater 2+2,07:51,13:01,37 Seats available,05h 10m,INR 648,"2.8
21",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0361,Ordinary Non AC Seater 2+3,08:00,14:31,52 Seats available,06h 31m,INR 492,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0374,Ordinary Non AC Seater 2+3,08:30,15:03,52 Seats available,06h 33m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0597,Ordinary Non AC Seater 2+3,08:30,15:29,52 Seats available,06h 59m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLY0140,Janrath AC Seater 2+2,08:47,14:30,36 Seats available,05h 43m,INR 648,"2.4
7",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0071,Janrath AC Seater 2+2,09:02,15:16,36 Seats available,06h 14m,INR 648,"3.3
9",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - KSB0085,Volvo AC Seater 2+2,09:31,14:31,39 Seats available,05h 00m,INR 894,"4.6
11",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0001,Ordinary Non AC Seater 2+3,10:20,16:00,52 Seats available,05h 40m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - MDD0050,Ordinary Non AC Seater 2+3,10:25,15:45,52 Seats available,05h 20m,INR 492,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RKD0124,Shatabdi AC Seater 2+2,10:31,15:31,37 Seats available,05h 00m,INR 648,"4.6
18",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0002,Ordinary Non AC Seater 2+3,10:40,16:30,52 Seats available,05h 50m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0003,Ordinary Non AC Seater 2+3,11:00,17:00,52 Seats available,06h 00m,INR 488,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - PLB0004,Shatabdi AC Seater 2+2,11:00,16:50,34 Seats available,05h 50m,INR 648,"4.0
20",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0004,Ordinary Non AC Seater 2+3,11:20,17:30,52 Seats available,06h 10m,INR 488,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0005,Ordinary Non AC Seater 2+3,11:40,18:00,52 Seats available,06h 20m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RKD0127,Shatabdi AC Seater 2+2,11:49,16:49,36 Seats available,05h 00m,INR 648,"3.9
31",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLY0155,Ordinary Non AC Seater 2+3,12:00,17:30,52 Seats available,05h 30m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0006,Ordinary Non AC Seater 2+3,12:00,18:30,52 Seats available,06h 30m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0127,Ordinary Non AC Seater 2+3,12:00,18:30,52 Seats available,06h 30m,INR 449,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0007,Ordinary Non AC Seater 2+3,12:20,19:00,52 Seats available,06h 40m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BRT0061,Ordinary Non AC Seater 2+3,12:30,19:40,52 Seats available,07h 10m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GND0079,Ordinary Non AC Seater 2+3,12:30,17:50,52 Seats available,05h 20m,INR 468,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - KSB0087,Volvo AC Seater 2+2,12:31,17:31,38 Seats available,05h 00m,INR 894,"3.8
8",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLY0157,Ordinary Non AC Seater 2+3,13:00,18:30,52 Seats available,05h 30m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0008,Ordinary Non AC Seater 2+3,13:00,19:30,52 Seats available,06h 30m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLP0018,Ordinary Non AC Seater 2+3,13:00,19:30,52 Seats available,06h 30m,INR 468,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0129,Ordinary Non AC Seater 2+3,13:00,19:30,52 Seats available,06h 30m,INR 449,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLY0106,Shatabdi AC Seater 2+2,13:01,18:00,37 Seats available,04h 59m,INR 648,"2.8
15",Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0081,Ordinary Non AC Seater 2+3,13:20,20:47,52 Seats available,07h 27m,INR 450,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0009,Ordinary Non AC Seater 2+3,13:30,20:00,52 Seats available,06h 30m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0130,Ordinary Non AC Seater 2+3,13:30,20:00,52 Seats available,06h 30m,INR 449,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BRT0062,Ordinary Non AC Seater 2+3,13:30,20:40,52 Seats available,07h 10m,INR 492,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLY0146,Rajdhani Non AC Seater 2+3,13:30,18:30,52 Seats available,05h 00m,INR 448,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HDD0476,Ordinary Non AC Seater 2+3,13:30,20:25,52 Seats available,06h 55m,INR 450,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - LNI0409,Ordinary Non AC Seater 2+3,13:30,18:51,52 Seats available,05h 21m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BDN0037,Ordinary Non AC Seater 2+3,14:00,21:30,52 Seats available,07h 30m,INR 528,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HPR0010,Ordinary Non AC Seater 2+3,14:00,20:30,52 Seats available,06h 30m,INR 444,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BRH0245,Ordinary Non AC Seater 2+3,14:00,19:50,52 Seats available,05h 50m,INR 468,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLP0029,Ordinary Non AC Seater 2+3,14:01,19:29,52 Seats available,05h 28m,INR 468,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RKD0151,Ordinary Non AC Seater 2+3,14:01,19:31,52 Seats available,05h 30m,INR 456,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GRH0132,Ordinary Non AC Seater 2+3,14:15,20:45,52 Seats available,06h 30m,INR 449,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - GND0105,Ordinary Non AC Seater 2+3,14:25,20:45,52 Seats available,06h 20m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - LNI0411,Ordinary Non AC Seater 2+3,14:30,19:50,52 Seats available,05h 20m,INR 459,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - AWD0350,Shatabdi AC Seater 2+2,14:31,20:00,37 Seats available,05h 29m,INR 648,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
