Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,40 Seats available,06h 20m,488,3.8,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Satya Paribahan,A/C Seater (2+3),23:00,05:10,24 Seats available,06h 10m,INR 320,"3.6
39",Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:55,20 Seats available,05h 20m,450,"1.1
12",Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Bus Service,A/C Seater / Sleeper (2+2),22:55,04:50,75 Seats available,05h 55m,INR 450,,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,6 Seats available,03h 45m,INR 486,"4.0
305",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,4 Seats available,03h 45m,INR 486,"4.2
11",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Express Line,Volvo 9600 A/C Seater (2+2),18:30,22:50,9 Seats available,04h 20m,INR 486,"4.5
262",Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
City Express (Shinjini),AC Seater (2+3),22:45,04:10,13 Seats available,05h 25m,INR 370,"3.7
33",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,12 Seats available,05h 25m,INR 370,"3.8
28",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,02:30,40 Seats available,05h 15m,488,"4.5
7",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+2),17:50,23:00,39 Seats available,05h 10m,340,"2.5
18",Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
