Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,18 Seats available,08h 30m,INR 1000,"4.3
66",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
FAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,18 Seats available,09h 00m,989,"4.1
43",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,13 Seats available,09h 00m,INR 1100,"4.6
557",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdMMK Travels,A/C Sleeper (2+1),23:00,07:30,15 Seats available,08h 30m,INR 1199,"3.8
30",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,11 Seats available,09h 00m,1110,"4.1
294",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,21 Seats available,08h 15m,INR 899,"4.3
122",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Sleeper (2+1),18:45,06:30,11 Seats available,11h 45m,INR 1350,"4.1
110",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,17 Seats available,08h 30m,1199,"4.3
103",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,A/C Sleeper (2+1),22:45,07:00,12 Seats available,08h 15m,1150,"4.1
98",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,25 Seats available,10h 00m,INR 899,"4.1
345",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,8 Seats available,09h 00m,INR 1599,"4.3
318",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,14 Seats available,08h 25m,INR 899,"4.2
275",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Silver Line Travels,Non A/C Seater / Sleeper (2+1),22:15,06:45,3 Seats available,08h 30m,INR 800,4.3,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,A/C Seater / Sleeper (2+1),21:45,05:50,18 Seats available,08h 05m,833,4.1,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:30,06:45,26 Seats available,08h 15m,INR 849,4.0,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,19 Seats available,09h 05m,INR 1200,"3.3
119",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,7 Seats available,09h 00m,759,"3.7
154",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:15,04:45,7 Seats available,06h 30m,INR 900,"3.1
5",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,NON A/C Sleeper (2+1),22:30,06:15,18 Seats available,07h 45m,990,"3.6
166",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,16 Seats available,09h 00m,INR 1350,"3.6
266",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,VE A/C Sleeper (2+1),22:45,07:30,24 Seats available,08h 45m,INR 1199,"3.9
293",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DA Transports,A/C Sleeper (2+1),21:45,07:00,17 Seats available,09h 15m,INR 1200,"3.3
29",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,9 Seats available,10h 30m,INR 999,"3.6
76",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,22 Seats available,08h 30m,INR 1199,"3.5
111",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,20 Seats available,09h 30m,INR 1050,"3.2
102",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
