Busname,Bustype,Starttime,Endtime,Seatavailable,Duration,Price,Rating,Route_name,Route_link
FRESHBUS,Electric A/C Seater (2+2),16:00,23:30,31 Seats available,07h 30m,INR 580,"4.7
420",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),11:45,17:55,15 Seats available,06h 10m,449,"4.7
370",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),11:45,18:50,15 Seats available,07h 05m,399,"4.7
326",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:10,25 Seats available,05h 15m,INR 780,"4.1
28",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:05,06:15,18 Seats available,07h 10m,899,"4.6
513",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:10,05:40,22 Seats available,07h 30m,630,"4.6
497",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),12:25,20:00,23 Seats available,07h 35m,399,"4.6
473",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:15,06:30,25 Seats available,07h 15m,730,"4.6
423",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
NueGo,Electric A/C Seater (2+2),22:30,06:00,21 Seats available,07h 30m,664,"4.5
816",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:35,07:05,23 Seats available,07h 30m,730,"4.6
416",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,AC Sleeper (2+1),23:30,06:45,17 Seats available,07h 15m,INR 949,"4.6
231",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,05:20,23 Seats available,06h 15m,INR 759,"4.4
614",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,31 Seats available,06h 55m,INR 649,"4.4
558",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
Sri KVR Travels,A/C Sleeper (2+1),23:35,05:15,23 Seats available,05h 40m,INR 890,"4.5
297",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),12:10,19:40,25 Seats available,07h 30m,323,"4.5
270",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
Svkdt travels,A/C Sleeper (2+1),23:35,05:50,4 Seats available,06h 15m,INR 689,"4.4
495",Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
